instance_id,agent_count,interaction_level,strategy,agent_order,original_index_order,agent_degrees,independent_conflict_count,independent_conflict_pair_count,ordering_low_level_searches,incident_conflict_counts,success,termination_reason,ordering_time_ms,pp_time_ms,total_time_ms,soc,makespan,conflict_count,error_message,catalogue_role,catalogue_seed,pp_low_level_searches,pp_agents_planned
AR0204SR_HO_n10_medium_000,10,medium,cdf_h,"[7, 8, 9, 0, 3, 1, 5, 6, 4, 2]","[7, 8, 9, 0, 3, 1, 5, 6, 4, 2]","[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",2,2,10,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",True,success,86497.8900999995,88659.18269997928,175157.07279997878,2925,509,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_medium_000,10,medium,cdf_l,"[3, 1, 5, 6, 4, 2, 7, 8, 9, 0]","[3, 1, 5, 6, 4, 2, 7, 8, 9, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",2,2,10,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",True,success,86197.6982000051,88455.9600999346,174653.6582999397,2925,509,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_medium_000,10,medium,spf_cd,"[3, 1, 5, 7, 8, 6, 9, 4, 2, 0]","[3, 1, 5, 7, 8, 6, 9, 4, 2, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",2,2,10,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",True,success,86742.9646999808,86815.99590007681,173558.96060005762,2925,509,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_medium_001,10,medium,cdf_h,"[0, 1, 8, 4, 5, 9, 6, 2, 7, 3]","[0, 1, 8, 4, 5, 9, 6, 2, 7, 3]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,10,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,17844.2015000619,18008.84710007813,35853.04860014003,2546,496,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_medium_001,10,medium,cdf_l,"[8, 4, 5, 9, 6, 2, 7, 3, 0, 1]","[8, 4, 5, 9, 6, 2, 7, 3, 0, 1]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,10,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,17833.880699938163,18539.954800042324,36373.83549998049,2546,496,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_medium_001,10,medium,spf_cd,"[8, 4, 5, 9, 6, 2, 0, 7, 3, 1]","[8, 4, 5, 9, 6, 2, 0, 7, 3, 1]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,10,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,18533.822599914856,18581.76149998326,37115.584099898115,2546,496,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_medium_002,10,medium,cdf_h,"[7, 8, 0, 2, 9, 3, 6, 5, 4, 1]","[7, 8, 0, 2, 9, 3, 6, 5, 4, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",1,1,10,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",True,success,18994.440900045447,19044.63670006953,38039.07760011498,3044,462,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_medium_002,10,medium,cdf_l,"[0, 2, 9, 3, 6, 5, 4, 1, 7, 8]","[0, 2, 9, 3, 6, 5, 4, 1, 7, 8]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",1,1,10,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",True,success,19355.352099984884,19369.54469990451,38724.89679988939,3044,462,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_medium_002,10,medium,spf_cd,"[7, 0, 2, 9, 3, 6, 5, 8, 4, 1]","[7, 0, 2, 9, 3, 6, 5, 8, 4, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",1,1,10,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",True,success,18897.83659996465,18961.14300005138,37858.97960001603,3044,462,0,,held_out_validation,2027,10,10
AR0204SR_HO_n20_high_000,20,high,cdf_h,"[2, 6, 7, 17, 0, 11, 5, 19, 12, 3, 16, 1, 13, 4, 8, 18, 15, 9, 10, 14]","[2, 6, 7, 17, 0, 11, 5, 19, 12, 3, 16, 1, 13, 4, 8, 18, 15, 9, 10, 14]","[1, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",3,3,20,"[1, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",True,success,62090.89190000668,62056.0589999659,124146.95089997258,4784,469,0,,held_out_validation,2027,20,20
