instance_id,agent_count,interaction_level,ordering_index,ordering_seed,agent_order,base_seed,success,termination_reason,execution_time_ms,soc,makespan,conflict_count,pp_low_level_searches,pp_agents_planned
AR0204SR_n10_high_001,10,high,12,5009116302638732341,"[1, 6, 7, 0, 5, 4, 8, 2, 9, 3]",2026,True,success,37140.68559999578,2962,512,0,10,10
AR0204SR_n10_high_001,10,high,13,4389078853737551214,"[1, 8, 3, 5, 7, 2, 4, 0, 9, 6]",2026,True,success,37377.89090001024,2962,512,0,10,10
AR0204SR_n10_high_001,10,high,14,7904644038488529323,"[3, 9, 0, 4, 6, 7, 5, 1, 8, 2]",2026,True,success,59726.16850002669,3181,512,0,10,10
AR0204SR_n10_high_001,10,high,15,190119586624301990,"[7, 9, 5, 0, 2, 1, 6, 8, 4, 3]",2026,True,success,37365.981000009924,2962,512,0,10,10
AR0204SR_n10_high_001,10,high,16,5658538299111296808,"[0, 4, 3, 5, 8, 2, 6, 9, 7, 1]",2026,True,success,59156.12860000692,3181,512,0,10,10
AR0204SR_n10_high_001,10,high,17,5472771232192594814,"[3, 5, 1, 6, 8, 9, 4, 2, 0, 7]",2026,True,success,37576.6495000571,2962,512,0,10,10
AR0204SR_n10_high_001,10,high,18,4918384639074516406,"[0, 1, 5, 6, 9, 2, 7, 4, 8, 3]",2026,True,success,37835.064099985175,2962,512,0,10,10
AR0204SR_n10_high_001,10,high,19,5460519529976668984,"[4, 6, 0, 7, 3, 1, 9, 2, 8, 5]",2026,True,success,59869.83969993889,3181,512,0,10,10
AR0204SR_n10_high_002,10,high,10,4148697174653234550,"[6, 9, 4, 8, 1, 5, 2, 7, 0, 3]",2026,True,success,34236.29900009837,3458,481,0,10,10
AR0204SR_n10_high_002,10,high,11,2540640682522059216,"[0, 1, 9, 6, 8, 4, 5, 2, 7, 3]",2026,True,success,34643.93389993347,3415,481,0,10,10
AR0204SR_n10_high_002,10,high,12,5000687422303470376,"[9, 0, 1, 7, 4, 6, 5, 2, 8, 3]",2026,True,success,33754.2082000291,3415,481,0,10,10
AR0204SR_n10_high_002,10,high,13,8590950690601124279,"[6, 8, 2, 0, 3, 1, 4, 5, 9, 7]",2026,True,success,32944.20809997246,3415,481,0,10,10
AR0204SR_n10_high_002,10,high,14,3077564209214186743,"[7, 1, 5, 2, 6, 9, 4, 3, 0, 8]",2026,True,success,33222.391000017524,3415,481,0,10,10
AR0204SR_n10_high_002,10,high,15,7417806352233063991,"[6, 9, 8, 4, 3, 5, 2, 1, 0, 7]",2026,True,success,34603.260900010355,3458,481,0,10,10
AR0204SR_n10_high_002,10,high,16,1950974702247153161,"[2, 8, 3, 7, 0, 9, 5, 1, 4, 6]",2026,True,success,33316.95329991635,3415,481,0,10,10
AR0204SR_n10_high_002,10,high,17,1719896890106743577,"[0, 8, 5, 4, 6, 2, 7, 9, 1, 3]",2026,True,success,34764.60979995318,3458,481,0,10,10
AR0204SR_n10_high_002,10,high,18,2843710346029380434,"[7, 1, 3, 6, 9, 8, 2, 4, 5, 0]",2026,True,success,33645.24589991197,3415,481,0,10,10
AR0204SR_n10_high_002,10,high,19,8340560732977342804,"[7, 1, 6, 8, 0, 2, 5, 4, 3, 9]",2026,True,success,33231.45210009534,3415,481,0,10,10
AR0204SR_n10_low_000,10,low,10,3509631978416609715,"[8, 4, 0, 9, 1, 3, 5, 6, 7, 2]",2026,True,success,25014.608999947086,2594,495,0,10,10
AR0204SR_n10_low_000,10,low,11,3044429781952167290,"[7, 6, 3, 4, 1, 5, 8, 9, 0, 2]",2026,True,success,25555.889699957334,2594,495,0,10,10
AR0204SR_n10_low_000,10,low,12,6519226566640594195,"[4, 3, 1, 2, 7, 6, 5, 9, 0, 8]",2026,True,success,25886.27249991987,2594,495,0,10,10
AR0204SR_n10_low_000,10,low,13,9174293111138428166,"[9, 7, 5, 0, 6, 3, 2, 1, 4, 8]",2026,True,success,25399.527300032787,2594,495,0,10,10
AR0204SR_n10_low_000,10,low,14,5439378792815604906,"[3, 5, 8, 9, 1, 6, 4, 0, 2, 7]",2026,True,success,25548.06549998466,2594,495,0,10,10
AR0204SR_n10_low_000,10,low,15,6707762629124315562,"[5, 6, 3, 9, 2, 7, 0, 4, 1, 8]",2026,True,success,25415.787199977785,2594,495,0,10,10
AR0204SR_n10_low_000,10,low,16,4824067849670051632,"[2, 0, 9, 3, 7, 8, 4, 1, 6, 5]",2026,True,success,25533.821400022134,2594,495,0,10,10
AR0204SR_n10_low_000,10,low,17,7000770131661189694,"[3, 9, 6, 5, 7, 1, 0, 2, 4, 8]",2026,True,success,25461.591299972497,2594,495,0,10,10
AR0204SR_n10_low_000,10,low,18,8251608809774530910,"[8, 6, 5, 7, 9, 3, 4, 0, 2, 1]",2026,True,success,26146.515500033274,2594,495,0,10,10
AR0204SR_n10_low_000,10,low,19,8315254237504332915,"[3, 0, 1, 4, 9, 5, 8, 7, 6, 2]",2026,True,success,25377.717100083828,2594,495,0,10,10
AR0204SR_n10_low_001,10,low,10,2056046879609367877,"[4, 1, 8, 3, 2, 9, 6, 7, 0, 5]",2026,True,success,30307.978100026958,2400,455,0,10,10
AR0204SR_n10_low_001,10,low,11,3769469175036173521,"[1, 8, 7, 9, 6, 0, 3, 2, 5, 4]",2026,True,success,30403.80740002729,2400,455,0,10,10
AR0204SR_n10_low_001,10,low,12,8086007962270946391,"[5, 9, 4, 2, 1, 0, 6, 3, 7, 8]",2026,True,success,30307.039899984375,2400,455,0,10,10
AR0204SR_n10_low_001,10,low,13,6180611915575420884,"[6, 9, 5, 4, 3, 0, 2, 1, 7, 8]",2026,True,success,30473.344800062478,2400,455,0,10,10
AR0204SR_n10_low_001,10,low,14,7174306885689289336,"[1, 9, 6, 0, 8, 3, 2, 5, 7, 4]",2026,True,success,30946.029899991117,2400,455,0,10,10
AR0204SR_n10_low_001,10,low,15,7699252447948294867,"[0, 1, 6, 8, 5, 3, 7, 9, 2, 4]",2026,True,success,30613.015500013717,2400,455,0,10,10
AR0204SR_n10_low_001,10,low,16,8091624943018789063,"[1, 9, 6, 2, 5, 8, 4, 0, 7, 3]",2026,True,success,30553.116400027648,2400,455,0,10,10
AR0204SR_n10_low_001,10,low,17,5072549627414966635,"[2, 1, 9, 0, 5, 4, 8, 3, 7, 6]",2026,True,success,31022.609000094235,2400,455,0,10,10
AR0204SR_n10_low_001,10,low,18,6255184840859940172,"[1, 9, 3, 4, 2, 5, 7, 6, 8, 0]",2026,True,success,30875.723400036804,2400,455,0,10,10
AR0204SR_n10_low_001,10,low,19,5770003849486741425,"[5, 8, 6, 9, 4, 2, 7, 3, 1, 0]",2026,True,success,30676.886299974285,2400,455,0,10,10
AR0204SR_n10_low_002,10,low,10,6252783454865743970,"[6, 1, 3, 5, 2, 9, 0, 7, 8, 4]",2026,True,success,3968.3698000153527,1862,343,0,10,10
AR0204SR_n10_low_002,10,low,11,5443201292617154116,"[4, 2, 0, 1, 9, 8, 5, 7, 3, 6]",2026,True,success,3892.379399971105,1862,343,0,10,10
AR0204SR_n10_low_002,10,low,12,814464367181864653,"[1, 2, 6, 0, 9, 4, 3, 8, 5, 7]",2026,True,success,3893.5280999867246,1862,343,0,10,10
AR0204SR_n10_low_002,10,low,13,1920800842539464220,"[1, 9, 5, 7, 0, 2, 4, 6, 3, 8]",2026,True,success,4006.779700051993,1862,343,0,10,10
