instance_id,agent_count,interaction_level,strategy,agent_order,original_index_order,agent_degrees,independent_conflict_count,independent_conflict_pair_count,ordering_low_level_searches,incident_conflict_counts,success,termination_reason,ordering_time_ms,pp_time_ms,total_time_ms,soc,makespan,conflict_count,error_message,pp_low_level_searches,pp_agents_planned
AR0204SR_n10_medium_001,10,medium,spf_cd,"[1, 7, 5, 3, 2, 0, 6, 9, 4, 8]","[1, 7, 5, 3, 2, 0, 6, 9, 4, 8]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,1,10,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",True,success,29072.406299994327,29969.812399940565,59042.21869993489,2567,505,0,,10,10
AR0204SR_n10_medium_002,10,medium,cdf_h,"[5, 3, 1, 2, 9, 7, 8, 0, 4, 6]","[5, 3, 1, 2, 9, 7, 8, 0, 4, 6]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",1,1,10,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",True,success,5893.8048999989405,5954.518900020048,11848.323800018989,1960,441,0,,10,10
AR0204SR_n10_medium_002,10,medium,cdf_l,"[1, 2, 9, 7, 8, 0, 4, 6, 5, 3]","[1, 2, 9, 7, 8, 0, 4, 6, 5, 3]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",1,1,10,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",True,success,5899.157200008631,5991.4946999633685,11890.651899972,1960,441,0,,10,10
AR0204SR_n10_medium_002,10,medium,spf_cd,"[1, 2, 9, 7, 8, 5, 0, 4, 6, 3]","[1, 2, 9, 7, 8, 5, 0, 4, 6, 3]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",1,1,10,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",True,success,5925.062800059095,5959.735900047235,11884.79870010633,1960,441,0,,10,10
AR0204SR_n20_high_000,20,high,cdf_h,"[1, 3, 8, 6, 11, 15, 4, 2, 19, 7, 17, 10, 18, 5, 14, 9, 0, 13, 16, 12]","[1, 3, 8, 6, 11, 15, 4, 2, 19, 7, 17, 10, 18, 5, 14, 9, 0, 13, 16, 12]","[0, 4, 1, 2, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",49,7,20,"[0, 4, 1, 44, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 43]",True,success,28520.195899996907,28375.9013999952,56896.09729999211,4918,455,0,,20,20
AR0204SR_n20_high_000,20,high,cdf_l,"[17, 10, 18, 5, 14, 9, 0, 13, 16, 12, 8, 6, 11, 15, 4, 2, 19, 7, 3, 1]","[17, 10, 18, 5, 14, 9, 0, 13, 16, 12, 8, 6, 11, 15, 4, 2, 19, 7, 3, 1]","[0, 4, 1, 2, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",49,7,20,"[0, 4, 1, 44, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 43]",True,success,28149.16919998359,28279.542900039814,56428.712100023404,4918,455,0,,20,20
AR0204SR_n20_high_000,20,high,spf_cd,"[17, 8, 10, 6, 11, 18, 5, 3, 15, 1, 4, 14, 9, 0, 13, 2, 16, 19, 7, 12]","[17, 8, 10, 6, 11, 18, 5, 3, 15, 1, 4, 14, 9, 0, 13, 2, 16, 19, 7, 12]","[0, 4, 1, 2, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",49,7,20,"[0, 4, 1, 44, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 43]",True,success,28561.34429993108,28740.979499998502,57302.32379992958,4918,455,0,,20,20
AR0204SR_n20_high_001,20,high,cdf_h,"[1, 15, 6, 7, 5, 0, 18, 11, 12, 14, 13, 2, 16, 19, 17, 9, 8, 4, 3, 10]","[1, 15, 6, 7, 5, 0, 18, 11, 12, 14, 13, 2, 16, 19, 17, 9, 8, 4, 3, 10]","[2, 4, 0, 0, 0, 2, 3, 2, 0, 0, 0, 1, 1, 0, 1, 3, 0, 0, 1, 0]",10,10,20,"[2, 4, 0, 0, 0, 2, 3, 2, 0, 0, 0, 1, 1, 0, 1, 3, 0, 0, 1, 0]",True,success,46324.88279999234,124445.25089999661,170770.13369998895,5157,490,0,,20,20
AR0204SR_n20_high_001,20,high,cdf_l,"[13, 2, 16, 19, 17, 9, 8, 4, 3, 10, 18, 11, 12, 14, 7, 5, 0, 15, 6, 1]","[13, 2, 16, 19, 17, 9, 8, 4, 3, 10, 18, 11, 12, 14, 7, 5, 0, 15, 6, 1]","[2, 4, 0, 0, 0, 2, 3, 2, 0, 0, 0, 1, 1, 0, 1, 3, 0, 0, 1, 0]",10,10,20,"[2, 4, 0, 0, 0, 2, 3, 2, 0, 0, 0, 1, 1, 0, 1, 3, 0, 0, 1, 0]",True,success,47688.63450002391,110508.45520000439,158197.0897000283,5046,490,0,,20,20
AR0204SR_n20_high_001,20,high,spf_cd,"[18, 13, 2, 16, 19, 1, 17, 9, 8, 15, 4, 7, 5, 11, 3, 10, 6, 12, 0, 14]","[18, 13, 2, 16, 19, 1, 17, 9, 8, 15, 4, 7, 5, 11, 3, 10, 6, 12, 0, 14]","[2, 4, 0, 0, 0, 2, 3, 2, 0, 0, 0, 1, 1, 0, 1, 3, 0, 0, 1, 0]",10,10,20,"[2, 4, 0, 0, 0, 2, 3, 2, 0, 0, 0, 1, 1, 0, 1, 3, 0, 0, 1, 0]",True,success,45781.50369995274,45994.59570006002,91776.09940001275,4742,490,0,,20,20
AR0204SR_n20_high_002,20,high,cdf_h,"[8, 5, 4, 10, 6, 7, 12, 11, 17, 3, 0, 14, 15, 19, 13, 16, 9, 1, 2, 18]","[8, 5, 4, 10, 6, 7, 12, 11, 17, 3, 0, 14, 15, 19, 13, 16, 9, 1, 2, 18]","[0, 0, 0, 0, 1, 1, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,3,20,"[0, 0, 0, 0, 1, 1, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,62513.64250003826,63059.53179998323,125573.17430002149,4829,512,0,,20,20
AR0204SR_n20_high_002,20,high,cdf_l,"[7, 12, 11, 17, 3, 0, 14, 15, 19, 13, 16, 9, 1, 2, 18, 5, 4, 10, 6, 8]","[7, 12, 11, 17, 3, 0, 14, 15, 19, 13, 16, 9, 1, 2, 18, 5, 4, 10, 6, 8]","[0, 0, 0, 0, 1, 1, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,3,20,"[0, 0, 0, 0, 1, 1, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,63116.743899998255,64153.54079997633,127270.28469997458,4829,512,0,,20,20
AR0204SR_n20_high_002,20,high,spf_cd,"[7, 12, 11, 17, 3, 0, 5, 14, 15, 19, 4, 13, 16, 9, 1, 2, 18, 10, 8, 6]","[7, 12, 11, 17, 3, 0, 5, 14, 15, 19, 4, 13, 16, 9, 1, 2, 18, 10, 8, 6]","[0, 0, 0, 0, 1, 1, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,3,20,"[0, 0, 0, 0, 1, 1, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,63750.83509995602,64218.99299998768,127969.8280999437,4829,512,0,,20,20
AR0204SR_n20_low_000,20,low,cdf_h,"[7, 15, 13, 9, 3, 2, 1, 19, 17, 12, 10, 4, 6, 16, 11, 0, 5, 8, 14, 18]","[7, 15, 13, 9, 3, 2, 1, 19, 17, 12, 10, 4, 6, 16, 11, 0, 5, 8, 14, 18]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,69114.83769991901,70514.73470008932,139629.57240000833,5607,511,0,,20,20
AR0204SR_n20_low_000,20,low,cdf_l,"[7, 15, 13, 9, 3, 2, 1, 19, 17, 12, 10, 4, 6, 16, 11, 0, 5, 8, 14, 18]","[7, 15, 13, 9, 3, 2, 1, 19, 17, 12, 10, 4, 6, 16, 11, 0, 5, 8, 14, 18]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,69520.57070005685,70891.64559997153,140412.21630002838,5607,511,0,,20,20
AR0204SR_n20_low_000,20,low,spf_cd,"[7, 15, 13, 9, 3, 2, 1, 19, 17, 12, 10, 4, 6, 16, 11, 0, 5, 8, 14, 18]","[7, 15, 13, 9, 3, 2, 1, 19, 17, 12, 10, 4, 6, 16, 11, 0, 5, 8, 14, 18]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,69928.67739999201,70624.8704000609,140553.5478000529,5607,511,0,,20,20
AR0204SR_n20_low_001,20,low,cdf_h,"[19, 10, 15, 8, 0, 18, 1, 14, 5, 9, 13, 17, 3, 16, 6, 12, 4, 11, 7, 2]","[19, 10, 15, 8, 0, 18, 1, 14, 5, 9, 13, 17, 3, 16, 6, 12, 4, 11, 7, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,56681.23980006203,57282.02170005534,113963.26150011737,5969,511,0,,20,20
