instance_id,agent_count,interaction_level,ordering_index,ordering_seed,agent_order,base_seed,success,termination_reason,execution_time_ms,soc,makespan,conflict_count,pp_low_level_searches,pp_agents_planned
AR0204SR_n10_high_001,10,high,0,8309960505080262200,"[2, 5, 3, 1, 7, 6, 0, 8, 9, 4]",2026,True,success,37985.900999978185,2962,512,0,10,10
AR0204SR_n10_high_001,10,high,1,8991773094161475169,"[5, 4, 3, 9, 8, 1, 6, 2, 0, 7]",2026,True,success,37664.46629993152,2962,512,0,10,10
AR0204SR_n10_high_001,10,high,2,407372888331765169,"[9, 7, 3, 8, 4, 5, 0, 6, 1, 2]",2026,True,success,60371.66609999258,3181,512,0,10,10
AR0204SR_n10_high_001,10,high,3,8425956514445438264,"[7, 9, 5, 1, 4, 8, 2, 3, 0, 6]",2026,True,success,38196.781100006774,2962,512,0,10,10
AR0204SR_n10_high_001,10,high,4,134353405668967544,"[2, 9, 1, 5, 4, 0, 7, 6, 3, 8]",2026,True,success,38122.868399950676,2962,512,0,10,10
AR0204SR_n10_high_001,10,high,5,595690890441030695,"[1, 2, 4, 5, 3, 6, 7, 0, 9, 8]",2026,True,success,60915.61439994257,3183,512,0,10,10
AR0204SR_n10_high_001,10,high,6,3252977626735943818,"[2, 8, 7, 0, 3, 4, 1, 6, 9, 5]",2026,True,success,59108.12430002261,3183,512,0,10,10
AR0204SR_n10_high_001,10,high,7,3314944085477255199,"[3, 6, 5, 4, 8, 1, 9, 0, 2, 7]",2026,True,success,36266.537499963306,2962,512,0,10,10
AR0204SR_n10_high_001,10,high,8,4259537848533300876,"[8, 3, 0, 6, 1, 9, 7, 4, 2, 5]",2026,True,success,57189.74439997692,3181,512,0,10,10
AR0204SR_n10_high_001,10,high,9,4595577709091493425,"[5, 1, 6, 7, 9, 3, 2, 4, 0, 8]",2026,True,success,36481.44989996217,2962,512,0,10,10
AR0204SR_n10_high_002,10,high,0,4078087989167079265,"[5, 3, 0, 1, 9, 8, 7, 2, 6, 4]",2026,True,success,32085.982499993406,3415,481,0,10,10
AR0204SR_n10_high_002,10,high,1,2728089441394480532,"[6, 0, 2, 7, 1, 5, 8, 9, 4, 3]",2026,True,success,31888.47609993536,3415,481,0,10,10
AR0204SR_n10_high_002,10,high,2,409365767828264103,"[6, 1, 2, 0, 5, 8, 3, 9, 7, 4]",2026,True,success,32032.686399994418,3415,481,0,10,10
AR0204SR_n10_high_002,10,high,3,7858021299114259976,"[4, 7, 5, 1, 3, 6, 9, 8, 2, 0]",2026,True,success,33133.20370006841,3458,481,0,10,10
AR0204SR_n10_high_002,10,high,4,7164471829929971519,"[3, 0, 2, 1, 5, 9, 8, 4, 7, 6]",2026,True,success,31872.260800097138,3415,481,0,10,10
AR0204SR_n10_high_002,10,high,5,4668749591950249364,"[3, 6, 8, 0, 1, 9, 4, 2, 7, 5]",2026,True,success,31878.68449999951,3415,481,0,10,10
AR0204SR_n10_high_002,10,high,6,6747824335207979117,"[3, 1, 9, 0, 8, 6, 4, 5, 7, 2]",2026,True,success,31957.84399996046,3415,481,0,10,10
AR0204SR_n10_high_002,10,high,7,615645169439026110,"[7, 3, 0, 5, 6, 1, 4, 9, 2, 8]",2026,True,success,32071.567800012417,3415,481,0,10,10
AR0204SR_n10_high_002,10,high,8,5750463563254784670,"[8, 2, 0, 9, 4, 1, 6, 7, 5, 3]",2026,True,success,33790.2233999921,3458,481,0,10,10
AR0204SR_n10_high_002,10,high,9,2086880961694945685,"[4, 5, 0, 9, 6, 8, 7, 3, 2, 1]",2026,True,success,33125.578699982725,3458,481,0,10,10
