algorithm,scenario_index,optimal_length,found,path_length,path_cost,visited_nodes,execution_time_ms,preprocessing_time_ms,abstract_nodes_visited,abstract_path_edge_count,refined_path_length,refined_path_cost,scanned_nodes,local_path_cache_hits,local_path_cache_misses,cache_hit_ratio,abstract_search_time_ms,refinement_time_ms,query_time_ms
HPA*,20,108.43860016,True,102,123.12489168102776,27,2.9209000058472157,574.7303000534885,27,17,102,123.12489168102776,,0,8,0.0,0.3635000321082771,0.006499991286545992,2.891700016334653
HPA*,21,108.24264069,True,110,110.82842712474618,16,2.0530999754555523,574.7303000534885,16,15,110,110.82842712474618,,0,8,0.0,0.29469997389242053,0.005600042641162872,2.037899976130575
HPA*,22,111.91168823,True,101,119.22539674441609,33,2.190000028349459,574.7303000534885,33,17,101,119.22539674441609,,0,6,0.0,0.3108999808318913,0.005599984433501959,2.162999997381121
HPA*,23,108.09545441,True,100,118.63961030678921,40,6.975599972065538,574.7303000534885,40,19,100,118.63961030678921,,0,12,0.0,0.7277000113390386,0.009500014130026102,6.943300017155707
HPA*,24,109.12489166,True,98,120.7817459305201,34,2.159499970730394,574.7303000534885,34,21,98,120.7817459305201,,0,7,0.0,0.5828000139445066,0.008400005754083395,2.1321999956853688
HPA*,25,108.46803741,True,97,116.46803743153538,35,1.8992999684996903,574.7303000534885,35,17,97,116.46803743153538,,0,7,0.0,0.4420999903231859,0.006299989763647318,1.8777999794110656
HPA*,26,109.55634918,True,110,119.11269837220807,18,2.061600040178746,574.7303000534885,18,17,110,119.11269837220807,,0,8,0.0,0.381499994546175,0.006299989763647318,2.036200021393597
HPA*,27,108.08326111,True,100,115.74011537017756,53,1.6945000388659537,574.7303000534885,53,17,100,115.74011537017756,,0,6,0.0,0.3884999896399677,0.005999987479299307,1.6724999877624214
HPA*,28,110.81118317,True,110,127.39696961966989,52,1.5656999894417822,574.7303000534885,52,21,110,127.39696961966989,,0,7,0.0,0.40600000647827983,0.007299997378140688,1.5412999782711267
HPA*,29,109.04163055,True,102,112.35533905932733,26,1.8912000232376158,574.7303000534885,26,13,102,112.35533905932733,,0,6,0.0,0.3281999961473048,0.006599992047995329,1.8647999968379736
HPA*,30,112.4091629,True,91,117.09545442950488,20,2.287800016347319,574.7303000534885,20,19,91,117.09545442950488,,0,8,0.0,0.5116999964229763,0.00879995059221983,2.2580999648198485
HPA*,31,115.74011536,True,108,120.42640687119282,28,2.1035000099800527,574.7303000534885,28,17,108,120.42640687119282,,0,8,0.0,0.374399998690933,0.007399998139590025,2.0815000170841813
