manifest_sha256,map_name,instance_id,method,candidate_id,agent_order,success,soc,makespan,pair_conflict_event_count,matches_cglps_candidate_order,selected
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_001,ubls,3,"[14, 13, 16, 17, 10, 12, 7, 0, 15, 3, 6, 2, 4, 1, 9, 19, 8, 5, 18, 11]",True,6491,503,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_001,ubls,4,"[19, 13, 16, 17, 11, 12, 7, 0, 15, 3, 6, 2, 4, 1, 9, 14, 8, 5, 18, 10]",True,6491,503,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_002,cglps,0,"[6, 2, 15, 10, 1, 9, 8, 13, 19, 14, 11, 12, 3, 7, 5, 18, 4, 17, 0, 16]",True,5826,470,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_002,cglps,1,"[6, 2, 15, 10, 4, 9, 8, 13, 19, 14, 11, 12, 3, 7, 5, 18, 1, 17, 0, 16]",True,5826,470,1,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_002,cglps,2,"[6, 2, 15, 10, 1, 9, 8, 13, 19, 14, 11, 12, 3, 7, 5, 4, 18, 17, 0, 16]",True,5826,470,1,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_002,cglps,3,"[6, 2, 15, 10, 1, 9, 8, 13, 19, 14, 11, 12, 3, 7, 16, 18, 4, 17, 0, 5]",True,5826,470,1,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_002,ubls,0,"[6, 2, 15, 10, 1, 9, 8, 13, 19, 14, 11, 12, 3, 7, 5, 18, 4, 17, 0, 16]",True,5826,470,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_002,ubls,1,"[6, 2, 12, 10, 1, 9, 8, 13, 19, 14, 11, 15, 3, 7, 5, 18, 4, 17, 0, 16]",True,5826,470,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_002,ubls,2,"[6, 2, 15, 10, 1, 9, 8, 13, 19, 14, 11, 12, 3, 7, 5, 16, 4, 17, 0, 18]",True,5826,470,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_002,ubls,3,"[6, 2, 18, 10, 1, 9, 8, 13, 19, 14, 11, 12, 3, 7, 5, 15, 4, 17, 0, 16]",True,5826,470,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_low_000,cglps,0,"[1, 3, 12, 4, 7, 9, 15, 10, 19, 11, 2, 5, 8, 16, 0, 13, 17, 14, 18, 6]",True,4904,481,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_low_000,ubls,0,"[1, 3, 12, 4, 7, 9, 15, 10, 19, 11, 2, 5, 8, 16, 0, 13, 17, 14, 18, 6]",True,4904,481,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_low_001,cglps,0,"[17, 6, 7, 14, 0, 18, 9, 15, 1, 3, 11, 8, 19, 2, 13, 4, 12, 10, 16, 5]",True,5156,465,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_low_001,ubls,0,"[17, 6, 7, 14, 0, 18, 9, 15, 1, 3, 11, 8, 19, 2, 13, 4, 12, 10, 16, 5]",True,5156,465,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_low_002,cglps,0,"[19, 15, 6, 7, 5, 16, 1, 3, 8, 18, 13, 10, 17, 12, 14, 11, 2, 4, 0, 9]",True,5457,473,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_low_002,ubls,0,"[19, 15, 6, 7, 5, 16, 1, 3, 8, 18, 13, 10, 17, 12, 14, 11, 2, 4, 0, 9]",True,5457,473,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_medium_000,cglps,0,"[7, 15, 8, 16, 9, 17, 6, 2, 12, 14, 13, 19, 10, 1, 0, 5, 3, 11, 4, 18]",True,5410,501,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_medium_000,cglps,1,"[7, 15, 8, 16, 9, 17, 6, 2, 12, 14, 19, 13, 10, 1, 0, 5, 3, 11, 4, 18]",True,5410,501,1,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_medium_000,ubls,0,"[7, 15, 8, 16, 9, 17, 6, 2, 12, 14, 13, 19, 10, 1, 0, 5, 3, 11, 4, 18]",True,5410,501,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_medium_000,ubls,1,"[7, 15, 8, 16, 9, 17, 6, 2, 12, 14, 13, 19, 10, 1, 0, 3, 5, 11, 4, 18]",True,5410,501,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_medium_001,cglps,0,"[8, 5, 19, 17, 3, 16, 6, 12, 10, 15, 1, 2, 11, 0, 13, 4, 14, 7, 9, 18]",True,5644,512,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_medium_001,cglps,1,"[8, 5, 19, 17, 14, 16, 6, 12, 10, 15, 1, 2, 11, 0, 13, 4, 3, 7, 9, 18]",True,5793,512,1,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_medium_001,cglps,2,"[8, 5, 19, 17, 3, 16, 6, 12, 10, 15, 1, 2, 14, 0, 13, 4, 11, 7, 9, 18]",True,5644,512,1,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_medium_001,ubls,0,"[8, 5, 19, 17, 3, 16, 6, 12, 10, 15, 1, 2, 11, 0, 13, 4, 14, 7, 9, 18]",True,5644,512,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_medium_001,ubls,1,"[8, 16, 19, 17, 3, 5, 6, 12, 10, 15, 1, 2, 11, 0, 13, 4, 14, 7, 9, 18]",True,5644,512,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_medium_001,ubls,2,"[8, 5, 9, 17, 3, 16, 6, 12, 10, 15, 1, 2, 11, 0, 13, 4, 14, 7, 19, 18]",True,5644,512,,False,False
