map_name,instance_id,agent_count,interaction_level,catalogue_seed,manifest_sha256,spf_soc,cdf_h_soc,cdf_l_soc,spf_cd_soc,spf_makespan,cdf_h_makespan,cdf_l_makespan,spf_cd_makespan,soc_range,makespan_range,mapf7_three_strategy_soc_range,soc_sensitive,makespan_sensitive,mapf7_three_strategy_soc_sensitive,independent_conflict_count,independent_conflict_pair_count,max_degree,mean_degree,degree_zero_count,distinct_degree_count,degree_stddev,spf_agent_order,cdf_h_original_index_order,cdf_l_original_index_order,spf_cd_original_index_order,spf_cd_same_order,cdf_h_same_order_as_spf,cdf_l_same_order_as_spf,spf_cd_soc_equal,spf_cd_makespan_equal,cdf_h_order_diff_no_soc_diff,cdf_l_order_diff_no_soc_diff
AR0307SR,AR0307SR_n05_high_000,5,high,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,1862,1862,1862,1862,493,493,493,493,0,0,0,False,False,False,4,4,4,1.6,0,2,1.2,"[2, 4, 0, 3, 1]","[0, 2, 4, 3, 1]","[2, 4, 3, 1, 0]","[2, 4, 0, 3, 1]",True,False,False,True,True,True,True
AR0307SR,AR0307SR_n05_high_001,5,high,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,1861,1861,1861,1861,476,476,476,476,0,0,0,False,False,False,3,3,2,1.2,1,3,0.7483314773547883,"[4, 0, 2, 3, 1]","[0, 3, 4, 2, 1]","[1, 4, 2, 0, 3]","[4, 0, 2, 3, 1]",True,False,False,True,True,True,True
AR0307SR,AR0307SR_n05_high_002,5,high,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,1735,1735,1735,1735,460,460,460,460,0,0,0,False,False,False,3,3,2,1.2,1,3,0.7483314773547883,"[0, 4, 1, 3, 2]","[1, 3, 4, 2, 0]","[0, 4, 2, 1, 3]","[0, 4, 1, 3, 2]",True,False,False,True,True,True,True
AR0307SR,AR0307SR_n10_low_000,10,low,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,2551,2551,2551,2551,502,502,502,502,0,0,0,False,False,False,0,0,0,0,10,1,0.0,"[9, 0, 3, 1, 6, 2, 8, 5, 4, 7]","[9, 0, 3, 1, 6, 2, 8, 5, 4, 7]","[9, 0, 3, 1, 6, 2, 8, 5, 4, 7]","[9, 0, 3, 1, 6, 2, 8, 5, 4, 7]",True,True,True,True,True,False,False
AR0307SR,AR0307SR_n10_low_001,10,low,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,2655,2655,2655,2655,467,467,467,467,0,0,0,False,False,False,0,0,0,0,10,1,0.0,"[4, 9, 3, 8, 5, 7, 1, 2, 6, 0]","[4, 9, 3, 8, 5, 7, 1, 2, 6, 0]","[4, 9, 3, 8, 5, 7, 1, 2, 6, 0]","[4, 9, 3, 8, 5, 7, 1, 2, 6, 0]",True,True,True,True,True,False,False
AR0307SR,AR0307SR_n10_low_002,10,low,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,2471,2471,2471,2471,417,417,417,417,0,0,0,False,False,False,0,0,0,0,10,1,0.0,"[6, 4, 0, 5, 8, 2, 7, 9, 3, 1]","[6, 4, 0, 5, 8, 2, 7, 9, 3, 1]","[6, 4, 0, 5, 8, 2, 7, 9, 3, 1]","[6, 4, 0, 5, 8, 2, 7, 9, 3, 1]",True,True,True,True,True,False,False
AR0307SR,AR0307SR_n10_medium_000,10,medium,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,3192,3192,3192,3192,453,453,453,453,0,0,0,False,False,False,1,1,1,0.2,8,2,0.4,"[6, 4, 2, 3, 9, 0, 1, 5, 7, 8]","[4, 0, 6, 2, 3, 9, 1, 5, 7, 8]","[6, 2, 3, 9, 1, 5, 7, 8, 4, 0]","[6, 4, 2, 3, 9, 0, 1, 5, 7, 8]",True,False,False,True,True,True,True
AR0307SR,AR0307SR_n10_medium_001,10,medium,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,2470,2470,2470,2470,510,510,510,510,0,0,0,False,False,False,1,1,1,0.2,8,2,0.4,"[0, 9, 7, 5, 6, 1, 8, 3, 4, 2]","[3, 2, 0, 9, 7, 5, 6, 1, 8, 4]","[0, 9, 7, 5, 6, 1, 8, 4, 3, 2]","[0, 9, 7, 5, 6, 1, 8, 3, 4, 2]",True,False,False,True,True,True,True
AR0307SR,AR0307SR_n10_medium_002,10,medium,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,2942,2942,2942,2942,489,489,489,489,0,0,0,False,False,False,2,2,1,0.4,6,2,0.4898979485566356,"[0, 5, 7, 4, 1, 9, 8, 6, 3, 2]","[5, 1, 6, 3, 0, 7, 4, 9, 8, 2]","[0, 7, 4, 9, 8, 2, 5, 1, 6, 3]","[0, 5, 7, 4, 1, 9, 8, 6, 3, 2]",True,False,False,True,True,True,True
AR0307SR,AR0307SR_n10_high_000,10,high,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,3290,3290,3290,3290,491,491,491,491,0,0,0,False,False,False,3,3,3,0.6,6,3,0.916515138991168,"[1, 2, 4, 3, 7, 5, 8, 9, 0, 6]","[0, 1, 8, 9, 2, 4, 3, 7, 5, 6]","[2, 4, 3, 7, 5, 6, 1, 8, 9, 0]","[1, 2, 4, 3, 7, 5, 8, 9, 0, 6]",True,False,False,True,True,True,True
