map_name,manifest_sha256,instance_id,agent_count,interaction_level,strategy,agent_order,original_index_order,agent_degrees,independent_conflict_count,independent_conflict_pair_count,ordering_low_level_searches,incident_conflict_counts,success,termination_reason,ordering_time_ms,pp_time_ms,total_time_ms,soc,makespan,conflict_count,pp_low_level_searches,pp_agents_planned,error_message,catalogue_seed
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_high_001,10,high,spf,"[9, 0, 2, 7, 3, 8, 5, 1, 4, 6]","[9, 0, 2, 7, 3, 8, 5, 1, 4, 6]",,,,,,True,success,43539.20429991558,44165.586199844256,87704.79049975984,2467,421,0,10,10,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_high_001,10,high,cdf_h,"[3, 1, 9, 0, 2, 7, 8, 5, 4, 6]","[3, 1, 9, 0, 2, 7, 8, 5, 4, 6]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",16,1,10,"[0, 16, 0, 16, 0, 0, 0, 0, 0, 0]",True,success,43745.648900046945,44467.50669996254,88213.15560000949,2467,421,0,10,10,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_high_001,10,high,cdf_l,"[9, 0, 2, 7, 8, 5, 4, 6, 3, 1]","[9, 0, 2, 7, 8, 5, 4, 6, 3, 1]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",16,1,10,"[0, 16, 0, 16, 0, 0, 0, 0, 0, 0]",True,success,44085.047100204974,44481.85350000858,88566.90060021356,2467,421,0,10,10,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_high_001,10,high,spf_cd,"[9, 0, 2, 7, 3, 8, 5, 1, 4, 6]","[9, 0, 2, 7, 3, 8, 5, 1, 4, 6]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",16,1,10,"[0, 16, 0, 16, 0, 0, 0, 0, 0, 0]",True,success,43807.59960017167,44897.0810000319,88704.68060020357,2467,421,0,10,10,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_high_002,10,high,spf,"[8, 4, 0, 3, 6, 9, 2, 7, 1, 5]","[8, 4, 0, 3, 6, 9, 2, 7, 1, 5]",,,,,,True,success,25930.412400048226,25929.595799883828,51860.008199932054,2570,409,0,10,10,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_high_002,10,high,cdf_h,"[0, 9, 8, 4, 3, 6, 2, 7, 1, 5]","[0, 9, 8, 4, 3, 6, 2, 7, 1, 5]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",63,1,10,"[63, 0, 0, 0, 0, 0, 0, 0, 0, 63]",True,success,25990.718999877572,26254.48470003903,52245.2036999166,2570,409,0,10,10,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_high_002,10,high,cdf_l,"[8, 4, 3, 6, 2, 7, 1, 5, 0, 9]","[8, 4, 3, 6, 2, 7, 1, 5, 0, 9]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",63,1,10,"[63, 0, 0, 0, 0, 0, 0, 0, 0, 63]",True,success,25765.944399870932,26029.248600127175,51795.19299999811,2570,409,0,10,10,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_high_002,10,high,spf_cd,"[8, 4, 0, 3, 6, 9, 2, 7, 1, 5]","[8, 4, 0, 3, 6, 9, 2, 7, 1, 5]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",63,1,10,"[63, 0, 0, 0, 0, 0, 0, 0, 0, 63]",True,success,26055.613900069147,26159.37120001763,52214.98510008678,2570,409,0,10,10,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_low_000,10,low,spf,"[7, 0, 2, 3, 9, 1, 4, 5, 6, 8]","[7, 0, 2, 3, 9, 1, 4, 5, 6, 8]",,,,,,True,success,86360.12480012141,86796.17469990626,173156.29950002767,2032,497,0,10,10,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_low_000,10,low,cdf_h,"[7, 0, 2, 3, 9, 1, 4, 5, 6, 8]","[7, 0, 2, 3, 9, 1, 4, 5, 6, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,86388.94909992814,87437.47649993747,173826.42559986562,2032,497,0,10,10,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_low_000,10,low,cdf_l,"[7, 0, 2, 3, 9, 1, 4, 5, 6, 8]","[7, 0, 2, 3, 9, 1, 4, 5, 6, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,86269.59189982153,86673.86669991538,172943.4585997369,2032,497,0,10,10,,2028
